ID,Name,Age,Dob,Height,Weight,Nationality,Club,Overall,Potential,Value,Wage,Player Positions,Preferred Foot,Skill Moves,Release Clause,Jersey Number,Joined,Contract Valid Until
138956,G. Chiellini,34,14/08/1984,187,85,Italy,Juventus,89,89,24500000,215000,CB,Left,2,40400000,3,01/07/2005,2020
153079,S. Agüero,31,02/06/1988,173,70,Argentina,Manchester City,89,89,60000000,300000,ST,Right,4,111000000,10,28/07/2011,2021
155862,Sergio Ramos,33,30/03/1986,184,82,Spain,Real Madrid,89,89,31500000,300000,CB,Right,3,64600000,4,01/08/2005,2020
176580,L. Suárez,32,24/01/1987,182,86,Uruguay,FC Barcelona,89,89,53000000,355000,ST,Right,3,108700000,9,11/07/2014,2021
188545,R. Lewandowski,30,21/08/1988,184,80,Poland,FC Bayern München,89,89,64500000,235000,ST,Right,4,106400000,9,01/07/2014,2021
189511,Sergio Busquets,30,16/07/1988,189,76,Spain,FC Barcelona,89,89,55000000,300000,"CDM, CM",Right,3,112800000,5,01/09/2008,2023
194765,A. Griezmann,28,21/03/1991,176,73,France,FC Barcelona,89,89,69000000,370000,"CF, ST, LW",Left,4,141500000,17,12/07/2019,2024
211110,P. Dybala,25,15/11/1993,177,75,Argentina,Juventus,88,92,76500000,215000,"CAM, RW",Left,4,132000000,10,01/07/2015,2022
195864,P. Pogba,26,15/03/1993,191,84,France,Manchester United,88,91,72500000,250000,"CM, CDM",Right,5,143200000,6,09/08/2016,2021
210257,Ederson,25,17/08/1993,188,86,Brazil,Manchester City,88,91,54500000,185000,GK,Left,1,104900000,31,01/07/2017,2024
202652,R. Sterling,24,08/12/1994,170,69,England,Manchester City,88,90,73000000,255000,"RW, LW",Right,4,140500000,7,14/07/2015,2023
190460,C. Eriksen,27,14/02/1992,181,76,Denmark,Tottenham Hotspur,88,89,68000000,205000,"CAM, CM",Right,4,130900000,23,30/08/2013,2020
192119,T. Courtois,27,11/05/1992,199,96,Belgium,Real Madrid,88,89,48000000,235000,GK,Left,1,102000000,13,09/08/2018,2024
152729,Piqué,32,02/02/1987,194,85,Spain,FC Barcelona,88,88,38000000,285000,CB,Right,2,77900000,3,01/07/2008,2022
162835,S. Handanovič,34,14/07/1984,193,92,Slovenia,Inter,88,88,26000000,110000,GK,Right,1,44200000,1,01/07/2012,2021
167495,M. Neuer,33,27/03/1986,193,92,Germany,FC Bayern München,88,88,32000000,155000,GK,Right,1,52800000,1,01/07/2011,2021
167948,H. Lloris,32,26/12/1986,188,82,France,Tottenham Hotspur,88,88,36000000,150000,GK,Left,1,66600000,1,31/08/2012,2022
168542,David Silva,33,08/01/1986,173,67,Spain,Manchester City,88,88,36000000,265000,"CAM, CM",Left,4,66600000,21,14/07/2010,2020
179813,E. Cavani,32,14/02/1987,185,77,Uruguay,Paris Saint-Germain,88,88,47000000,195000,ST,Right,3,87000000,9,16/07/2013,2020
182493,D. Godín,33,16/02/1986,187,78,Uruguay,Inter,88,88,28000000,135000,CB,Right,2,47600000,2,01/07/2019,2022
182521,T. Kroos,29,04/01/1990,183,76,Germany,Real Madrid,88,88,57000000,330000,CM,Right,3,116900000,8,17/07/2014,2023
188350,M. Reus,30,31/05/1989,180,71,Germany,Borussia Dortmund,88,88,56000000,170000,"CAM, LM, ST",Right,4,92400000,11,01/07/2012,2023
188567,P. Aubameyang,30,18/06/1989,187,80,Gabon,Arsenal,88,88,57000000,205000,"ST, LM",Right,4,108300000,14,31/01/2018,2021
208722,S. Mané,27,10/04/1992,175,69,Senegal,Liverpool,88,88,62000000,220000,"LW, LM",Right,4,114700000,10,01/07/2016,2023
212218,A. Laporte,25,27/05/1994,189,85,France,Manchester City,87,90,56500000,195000,"CB, LB",Left,2,108800000,14,30/01/2018,2024
218667,Bernardo Silva,24,10/08/1994,173,64,Portugal,Manchester City,87,90,64000000,210000,"RW, CAM, CM",Left,4,123200000,20,01/07/2017,2024
200145,Casemiro,27,23/02/1992,185,84,Brazil,Real Madrid,87,89,53500000,240000,CDM,Right,2,113700000,14,11/07/2013,2021
200104,H. Son,26,08/07/1992,183,78,Korea Republic,Tottenham Hotspur,87,88,60000000,185000,"CF, LM",Right,4,115500000,7,28/08/2015,2023
135507,Fernandinho,34,04/05/1985,179,67,Brazil,Manchester City,87,87,19500000,200000,CDM,Right,3,36100000,25,01/07/2013,2020
164240,Thiago Silva,34,22/09/1984,183,82,Brazil,Paris Saint-Germain,87,87,18500000,135000,CB,Right,2,34200000,2,01/07/2012,2020
165153,K. Benzema,31,19/12/1987,185,81,France,Real Madrid,87,87,45000000,285000,"CF, ST",Right,4,92300000,9,09/07/2009,2021
172871,J. Vertonghen,32,24/04/1987,189,86,Belgium,Tottenham Hotspur,87,87,32500000,155000,CB,Left,3,60100000,5,01/07/2012,2020
175943,D. Mertens,32,06/05/1987,169,61,Belgium,Napoli,87,87,40000000,135000,"CF, ST",Right,4,68000000,14,01/07/2013,2020
178603,M. Hummels,30,16/12/1988,191,94,Germany,Borussia Dortmund,87,87,41000000,130000,CB,Right,3,67700000,15,01/07/2019,2022
184087,T. Alderweireld,30,02/03/1989,186,81,Belgium,Tottenham Hotspur,87,87,41000000,155000,CB,Right,2,75900000,4,08/07/2015,2020
189332,Jordi Alba,30,21/03/1989,170,68,Spain,FC Barcelona,87,87,40000000,240000,LB,Left,3,82000000,18,01/07/2012,2024
189509,Thiago,28,11/04/1991,174,70,Spain,FC Bayern München,87,87,50000000,180000,"CM, CAM, CDM",Right,5,82500000,6,14/07/2013,2021
193041,K. Navas,32,15/12/1986,185,80,Costa Rica,Real Madrid,87,87,30500000,195000,GK,Right,1,62500000,1,03/08/2014,2020
198219,L. Insigne,28,04/06/1991,163,59,Italy,Napoli,87,87,52000000,140000,"CF, LW, ST",Right,4,88400000,24,01/07/2010,2022
222492,L. Sané,23,11/01/1996,183,75,Germany,Manchester City,86,92,61000000,195000,LW,Left,4,125100000,19,02/08/2016,2021
207865,Marquinhos,25,14/05/1994,183,75,Brazil,Paris Saint-Germain,86,90,51500000,120000,"CB, CDM",Right,3,99100000,5,19/07/2013,2022
232363,M. Škriniar,24,11/02/1995,187,80,Slovakia,Inter,86,90,52000000,89000,CB,Right,2,92300000,37,07/07/2017,2023
199556,M. Verratti,26,05/11/1992,165,60,Italy,Paris Saint-Germain,86,89,54500000,140000,"CM, CDM",Right,4,104900000,6,18/07/2012,2021
205600,S. Umtiti,25,14/11/1993,182,75,France,FC Barcelona,86,89,50000000,210000,CB,Left,2,106300000,23,12/07/2016,2023
186153,W. Szczęsny,29,18/04/1990,195,90,Poland,Juventus,86,88,37500000,135000,GK,Right,1,64700000,1,19/07/2017,2021
212622,J. Kimmich,24,08/02/1995,176,73,Germany,FC Bayern München,86,88,48000000,125000,"RB, CM, CDM",Right,3,82800000,32,01/07/2015,2023
197781,Isco,27,21/04/1992,176,79,Spain,Real Madrid,86,87,51000000,245000,"CAM, CM, LW",Right,4,108400000,22,03/07/2013,2022
201942,Roberto Firmino,27,02/10/1991,181,76,Brazil,Liverpool,86,87,52000000,170000,"CF, ST, CAM",Right,4,100100000,9,06/07/2015,2023
168651,I. Rakitić,31,10/03/1988,184,78,Croatia,FC Barcelona,86,86,38000000,245000,"CM, CDM",Right,3,77900000,4,01/07/2014,2021
180206,M. Pjanić,29,02/04/1990,178,72,Bosnia Herzegovina,Juventus,86,86,42500000,180000,"CM, CDM",Right,3,70100000,5,01/07/2016,2023
183898,A. Di María,31,14/02/1988,180,69,Argentina,Paris Saint-Germain,86,86,39000000,150000,"RW, LW",Left,5,72200000,11,06/08/2015,2021
184344,L. Bonucci,32,01/05/1987,190,85,Italy,Juventus,86,86,28500000,160000,CB,Right,2,47000000,19,02/08/2018,2023
189242,Coutinho,27,12/06/1992,172,68,Brazil,FC Bayern München,86,86,46500000,175000,"LW, CM",Right,5,,10,,2020
189513,Parejo,30,16/04/1989,182,74,Spain,Valencia CF,86,86,41000000,69000,CM,Right,3,86100000,10,01/07/2011,2022
189596,T. Müller,29,13/09/1989,186,75,Germany,FC Bayern München,86,86,43500000,170000,"CAM, RM, RW",Right,3,71800000,25,10/08/2008,2021
192387,C. Immobile,29,20/02/1990,185,85,Italy,Lazio,86,86,44500000,105000,ST,Right,3,75700000,17,27/07/2016,2023
193301,A. Lacazette,28,28/05/1991,175,73,France,Arsenal,86,86,46000000,165000,ST,Right,4,87400000,9,05/07/2017,2022
235243,M. de Ligt,19,12/08/1999,189,89,Netherlands,Juventus,85,93,50000000,76000,CB,Right,2,92500000,4,18/07/2019,2024
230621,G. Donnarumma,20,25/02/1999,196,90,Italy,Milan,85,92,41500000,34000,GK,Right,1,78900000,99,01/07/2015,2021
228702,F. de Jong,22,12/05/1997,180,74,Netherlands,FC Barcelona,85,91,52000000,195000,"CM, CDM",Right,4,117000000,21,01/07/2019,2024
201535,R. Varane,26,25/04/1993,191,81,France,Real Madrid,85,90,45000000,205000,CB,Right,2,95600000,5,01/07/2011,2022
212190,N. Süle,23,03/09/1995,195,97,Germany,FC Bayern München,85,90,46500000,115000,CB,Right,2,80200000,4,01/07/2017,2022
223848,S. Milinković-Savić,24,27/02/1995,191,76,Serbia,Lazio,85,90,50500000,73000,"CM, CAM",Right,4,89600000,21,06/08/2015,2023
231866,Rodri,23,22/06/1996,191,82,Spain,Manchester City,85,90,47000000,150000,"CDM, CM",Right,3,90500000,16,04/07/2019,2024
208421,Saúl,24,21/11/1994,184,77,Spain,Atlético Madrid,85,89,49500000,77000,"CM, LM, RM",Left,3,105200000,8,01/07/2013,2026
209499,Fabinho,25,23/10/1993,188,78,Brazil,Liverpool,85,89,45000000,125000,CDM,Right,3,86600000,3,01/07/2018,2023
216267,A. Robertson,25,11/03/1994,178,64,Scotland,Liverpool,85,89,43500000,125000,LB,Left,3,83700000,26,21/07/2017,2024
216460,J. Giménez,24,20/01/1995,185,80,Uruguay,Atlético Madrid,85,89,45000000,69000,CB,Right,2,95600000,2,01/07/2013,2023
220440,C. Lenglet,24,17/06/1995,186,81,France,FC Barcelona,85,89,45000000,175000,CB,Left,2,95600000,15,12/07/2018,2023
212198,Bruno Fernandes,24,08/09/1994,179,69,Portugal,Sporting CP,85,88,49000000,24000,"CAM, CM",Right,4,101700000,8,01/07/2017,2023
199482,A. Lopes,28,01/10/1990,184,81,Portugal,Olympique Lyonnais,85,87,33500000,88000,GK,Left,1,66200000,1,01/07/2011,2020
185122,P. Gulácsi,29,06/05/1990,192,86,Hungary,RB Leipzig,85,86,31000000,69000,GK,Right,1,55000000,1,01/07/2015,2022
189117,R. Bürki,28,14/11/1990,187,85,Switzerland,Borussia Dortmund,85,86,32000000,92000,GK,Right,1,55200000,1,01/07/2015,2021
192505,R. Lukaku,26,13/05/1993,190,94,Belgium,Inter,85,86,46000000,115000,ST,Left,3,81700000,9,08/08/2019,2024
192774,K. Manolas,28,14/06/1991,189,83,Greece,Napoli,85,86,37500000,105000,CB,Right,2,66600000,44,02/07/2019,2022
194404,Neto,29,19/07/1989,190,84,Brazil,FC Barcelona,85,86,31000000,175000,GK,Right,1,65900000,13,09/07/2019,2023
197445,D. Alaba,27,24/06/1992,180,78,Austria,FC Bayern München,85,86,38000000,135000,"LB, CB",Left,3,65600000,27,10/02/2010,2021
201399,M. Icardi,26,19/02/1993,181,75,Argentina,Inter,85,86,46000000,115000,ST,Right,3,81700000,36,09/07/2013,2021
204963,Carvajal,27,11/01/1992,173,73,Spain,Real Madrid,85,86,38000000,205000,RB,Right,3,80800000,2,05/07/2013,2022
208670,H. Ziyech,26,19/03/1993,181,65,Morocco,Ajax,85,86,45000000,39000,"CAM, RW",Left,4,66400000,22,30/08/2016,2022
41236,Z. Ibrahimović,37,03/10/1981,195,95,Sweden,LA Galaxy,85,85,14000000,15000,ST,Right,5,21000000,9,23/03/2018,2019
143076,A. Gómez,31,15/02/1988,165,68,Argentina,Atalanta,85,85,34000000,92000,"CAM, CF, ST",Right,4,57800000,10,02/09/2014,2022
167664,G. Higuaín,31,10/12/1987,186,89,Argentina,Juventus,85,85,34500000,175000,ST,Right,3,56900000,21,26/07/2016,2021
170890,B. Matuidi,32,09/04/1987,180,75,France,Juventus,85,85,25000000,145000,"CDM, CM",Left,2,41300000,14,18/08/2017,2020
173731,G. Bale,29,16/07/1989,185,82,Wales,Real Madrid,85,85,37500000,250000,"RW, LW, ST",Left,4,76900000,11,02/09/2013,2022
176676,Marcelo,31,12/05/1988,174,75,Brazil,Real Madrid,85,85,28000000,205000,LB,Left,5,57400000,12,01/01/2007,2022
177413,A. Witsel,30,12/01/1989,186,81,Belgium,Borussia Dortmund,85,85,31500000,110000,"CDM, CM",Right,4,52000000,28,17/08/2018,2022
191043,Alex Sandro,28,26/01/1991,180,80,Brazil,Juventus,85,85,33000000,155000,"LB, LM",Left,3,54500000,12,21/08/2015,2020
192629,Iago Aspas,31,01/08/1987,176,67,Spain,RC Celta,85,85,34500000,49000,"ST, RW",Left,3,72500000,10,01/07/2015,2023
193747,Koke,27,08/01/1992,176,74,Spain,Atlético Madrid,85,85,40500000,88000,"RM, LM, CM",Right,3,83000000,6,01/01/2011,2024
198710,J. Rodríguez,27,12/07/1991,180,75,Colombia,Real Madrid,85,85,40500000,225000,"CAM, CM, RM",Left,4,83000000,16,22/07/2014,2020
199914,Allan,28,08/01/1991,175,74,Brazil,Napoli,85,85,38000000,110000,CM,Right,4,64600000,5,22/07/2015,2023
233049,J. Sancho,19,25/03/2000,180,76,England,Borussia Dortmund,84,92,44500000,61000,"RM, LM",Right,5,82300000,7,31/08/2017,2022
235790,K. Havertz,20,11/06/1999,188,83,Germany,Bayer 04 Leverkusen,84,92,46000000,70000,"CAM, RM",Left,4,87400000,29,01/07/2016,2022
231443,O. Dembélé,22,15/05/1997,178,67,France,FC Barcelona,84,90,42500000,195000,"RW, LW",Left,5,95600000,11,28/08/2017,2022
206585,Kepa,24,03/10/1994,186,85,Spain,Chelsea,84,89,31000000,92000,GK,Right,1,61200000,1,08/08/2018,2024
210514,João Cancelo,25,27/05/1994,182,74,Portugal,Manchester City,84,89,36500000,150000,RB,Right,4,70300000,27,07/08/2019,2025
211117,D. Alli,23,11/04/1996,188,80,England,Tottenham Hotspur,84,89,41500000,115000,"CAM, CM",Right,4,79900000,20,02/02/2015,2024
220814,L. Hernández,23,14/02/1996,182,76,France,FC Bayern München,84,89,37500000,110000,"CB, LB",Left,2,64700000,21,01/07/2019,2024
230658,Arthur,22,12/08/1996,171,73,Brazil,FC Barcelona,84,89,41000000,180000,CM,Right,4,87100000,8,09/07/2018,2024
202556,M. Depay,25,13/02/1994,176,78,Netherlands,Olympique Lyonnais,84,88,40500000,110000,"CF, LW, CAM",Right,5,80000000,11,20/01/2017,2021
209658,L. Goretzka,24,06/02/1995,189,79,Germany,FC Bayern München,84,88,40000000,120000,"CM, CAM, CDM",Right,3,69000000,18,01/07/2018,2022
212194,J. Brandt,23,02/05/1996,185,83,Germany,Borussia Dortmund,84,88,40500000,94000,"CAM, LM, RM",Right,4,69900000,19,01/07/2019,2024
213345,K. Coman,23,13/06/1996,179,75,France,FC Bayern München,84,88,40500000,120000,"LM, RM, LW",Right,4,69900000,29,30/08/2015,2023
206113,S. Gnabry,23,14/07/1995,175,75,Germany,FC Bayern München,84,87,39500000,120000,"RM, LM, LW",Right,4,68100000,22,01/07/2017,2023
216594,N. Fekir,25,18/07/1993,173,75,France,Real Betis,84,87,39000000,40000,CAM,Left,4,84800000,8,23/07/2019,2023
192563,B. Leno,27,04/03/1992,190,83,Germany,Arsenal,84,86,26000000,91000,GK,Right,1,51400000,1,01/07/2018,2023
198706,Luis Alberto,26,28/09/1992,183,74,Spain,Lazio,84,86,37500000,78000,"CAM, CM, CF",Right,4,66600000,10,31/08/2016,2022
212462,Alex Telles,26,15/12/1992,181,71,Brazil,FC Porto,84,86,33000000,23000,LB,Left,3,68500000,13,13/07/2016,2021
236583,J. Pavlenka,27,14/04/1992,196,81,Czech Republic,SV Werder Bremen,84,86,26000000,37000,GK,Right,1,46200000,1,01/07/2017,2021
198176,S. de Vrij,27,05/02/1992,189,78,Netherlands,Inter,84,85,31500000,88000,CB,Right,2,55900000,6,01/07/2018,2023
201995,Felipe Anderson,26,15/04/1993,175,70,Brazil,West Ham United,84,85,36500000,125000,LM,Right,4,72100000,8,15/07/2018,2022
120533,Pepe,36,26/02/1983,188,81,Portugal,FC Porto,84,84,6500000,16000,CB,Right,2,13000000,3,08/01/2019,2021
162347,João Moutinho,32,08/09/1986,170,61,Portugal,Wolverhampton Wanderers,84,84,23500000,125000,CM,Right,3,44700000,28,24/07/2018,2020
167628,S. Ruffier,32,27/09/1986,188,93,France,AS Saint-Étienne,84,84,19000000,41000,GK,Right,1,36100000,16,11/07/2011,2021
168435,S. Sirigu,32,12/01/1987,192,80,Italy,Torino,84,84,19000000,54000,GK,Right,1,32300000,39,27/06/2017,2022
171877,M. Hamšík,31,27/07/1987,183,73,Slovakia,Dalian YiFang FC,84,84,26500000,26000,CM,Right,3,41100000,17,14/02/2019,2021
172879,Sokratis,31,09/06/1988,186,85,Greece,Arsenal,84,84,23000000,115000,CB,Right,2,43700000,5,02/07/2018,2021
176266,Lucas Leiva,32,09/01/1987,179,78,Brazil,Lazio,84,84,20500000,71000,CDM,Right,3,34900000,6,18/07/2017,2022
176635,M. Özil,30,15/10/1988,180,76,Germany,Arsenal,84,84,29500000,125000,"CAM, RW",Left,4,56100000,10,02/09/2013,2021
177610,Javi Martínez,30,02/09/1988,192,86,Spain,FC Bayern München,84,84,25500000,125000,"CDM, CB",Right,2,42100000,8,29/08/2012,2021
177683,Y. Sommer,30,17/12/1988,183,79,Switzerland,Borussia Mönchengladbach,84,84,21000000,37000,GK,Right,1,35700000,1,01/07/2014,2021
180930,E. Džeko,33,17/03/1986,193,80,Bosnia Herzegovina,Roma,84,84,19500000,75000,ST,Right,2,33200000,9,01/07/2015,2022
181291,G. Wijnaldum,28,11/11/1990,175,69,Netherlands,Liverpool,84,84,31000000,140000,"CM, CDM",Right,4,57400000,5,22/07/2016,2021
181458,I. Perišić,30,02/02/1989,186,80,Croatia,FC Bayern München,84,84,29500000,135000,LM,Right,4,,14,,2020
181783,M. Mandžukić,33,21/05/1986,190,85,Croatia,Juventus,84,84,19500000,160000,"ST, LW",Right,3,32200000,17,01/07/2015,2021
181872,A. Vidal,32,22/05/1987,180,75,Chile,FC Barcelona,84,84,23500000,205000,"CM, CDM",Right,3,48200000,22,06/08/2018,2021
183907,J. Boateng,30,03/09/1988,192,90,Germany,FC Bayern München,84,84,25000000,125000,CB,Right,2,41300000,17,14/07/2011,2021
184432,Azpilicueta,29,28/08/1989,178,76,Spain,Chelsea,84,84,25500000,145000,"RB, CB",Right,2,48500000,28,24/08/2012,2022
185020,José Callejón,32,11/02/1987,178,73,Spain,Napoli,84,84,24000000,96000,"RM, RW",Right,3,40800000,7,11/07/2013,2020
186942,I. Gündoğan,28,24/10/1990,180,80,Germany,Manchester City,84,84,31000000,180000,"CM, CDM",Right,4,57400000,8,01/07/2016,2023
187961,Paulinho,30,25/07/1988,183,80,Brazil,Guangzhou Evergrande Taobao FC,84,84,29000000,43000,"CM, CAM, CDM",Right,4,46400000,8,15/01/2019,2023
188377,K. Walker,29,28/05/1990,183,70,England,Manchester City,84,84,25500000,165000,RB,Right,2,47200000,2,14/07/2017,2024
190286,Canales,28,16/02/1991,176,65,Spain,Real Betis,84,84,31500000,44000,"CAM, CM, CF",Left,4,66200000,10,03/07/2018,2022
190483,Douglas Costa,28,14/09/1990,172,70,Brazil,Juventus,84,84,31500000,155000,"LM, RW, LW",Left,5,52000000,11,01/07/2018,2022
197965,Pizzi,29,06/10/1989,177,72,Portugal,SL Benfica,84,84,30500000,26000,"RM, CM",Right,3,61000000,21,30/07/2013,2023
199434,D. Tadić,30,20/11/1988,181,76,Serbia,Ajax,84,84,29500000,36000,"CAM, LW, ST",Left,4,41300000,10,03/07/2018,2023
200647,J. Iličić,31,29/01/1988,190,79,Slovenia,Atalanta,84,84,28000000,92000,"CF, ST",Left,4,47600000,72,05/07/2017,2021
204485,R. Mahrez,28,21/02/1991,179,67,Algeria,Manchester City,84,84,31500000,195000,"RW, RM",Left,5,58300000,26,10/07/2018,2023
205678,E. Višća,29,17/02/1990,172,63,Bosnia Herzegovina,Medipol Başakşehir FK,84,84,30500000,67000,"RM, RW",Right,4,58000000,7,16/08/2011,2021
207863,Felipe,30,16/05/1989,190,83,Brazil,Atlético Madrid,84,84,25000000,74000,CB,Right,2,51300000,18,01/07/2019,2022
226271,Fabián,23,03/04/1996,189,70,Spain,Napoli,83,90,36000000,76000,"CM, CDM, CAM",Left,4,68400000,8,05/07/2018,2023
210413,A. Romagnoli,24,12/01/1995,188,78,Italy,Milan,83,89,32000000,46000,CB,Left,2,60800000,13,11/08/2015,2022
226226,G. Lo Celso,23,09/04/1996,177,68,Argentina,Tottenham Hotspur,83,89,35000000,105000,"CM, CAM, CF",Left,4,,18,,2020
231281,T. Alexander-Arnold,20,07/10/1998,180,69,England,Liverpool,83,89,32000000,78000,RB,Right,3,65600000,66,07/10/2015,2024
232432,L. Jović,21,23/12/1997,182,85,Serbia,Real Madrid,83,89,36500000,155000,ST,Right,3,82100000,18,01/07/2019,2024
205175,A. Milik,25,28/02/1994,186,78,Poland,Napoli,83,88,35000000,91000,ST,Left,4,62100000,99,02/08/2016,2021
211300,A. Martial,23,05/12/1995,184,76,France,Manchester United,83,88,34500000,140000,"LW, ST, LM",Right,4,68100000,9,01/09/2015,2024
212523,Anderson Talisca,25,01/02/1994,190,80,Brazil,Guangzhou Evergrande Taobao FC,83,88,34500000,38000,"CAM, RW",Left,4,57800000,9,01/01/2019,2022
213331,J. Tah,23,11/02/1996,195,97,Germany,Bayer 04 Leverkusen,83,88,31000000,67000,CB,Right,2,55000000,4,16/07/2015,2023
219683,C. Tolisso,24,03/08/1994,181,81,France,FC Bayern München,83,88,34000000,110000,"CM, CDM",Right,3,58700000,24,01/07/2017,2022
221087,Pau López,24,13/12/1994,189,77,Spain,Roma,83,88,26000000,38000,GK,Left,1,46200000,12,10/07/2019,2024
224411,Gonçalo Guedes,22,29/11/1996,179,68,Portugal,Valencia CF,83,88,34500000,46000,"LM, ST",Right,4,75000000,7,29/08/2018,2024
226110,N. Pépé,24,29/05/1995,183,73,Ivory Coast,Arsenal,83,88,34500000,97000,"RM, RW, ST",Left,4,68100000,19,01/08/2019,2024
229237,M. Akanji,23,19/07/1995,187,91,Switzerland,Borussia Dortmund,83,88,31000000,77000,CB,Right,2,53500000,16,15/01/2018,2022
231677,M. Rashford,21,31/10/1997,186,70,England,Manchester United,83,88,35500000,125000,"ST, LM",Right,5,70100000,10,01/07/2014,2023
203574,J. Stones,25,28/05/1994,188,70,England,Manchester City,83,87,30000000,140000,CB,Right,3,57800000,5,09/08/2016,2022
210008,A. Rabiot,24,03/04/1995,192,80,France,Juventus,83,87,33000000,120000,"CM, CDM",Left,3,56900000,25,01/07/2019,2023
210035,Grimaldo,23,20/09/1995,171,69,Spain,SL Benfica,83,87,29500000,18000,LB,Left,3,61200000,3,04/01/2016,2021
212188,T. Werner,23,06/03/1996,180,75,Germany,RB Leipzig,83,87,34500000,70000,ST,Right,3,61200000,11,01/07/2016,2020
213565,T. Lemar,23,12/11/1995,171,62,France,Atlético Madrid,83,87,34000000,64000,"LM, CAM, RM",Left,4,72300000,11,01/07/2018,2023
220793,D. Sánchez,23,12/06/1996,187,79,Colombia,Tottenham Hotspur,83,87,30500000,93000,CB,Right,2,58700000,6,26/08/2017,2024
220834,Marco Asensio,23,21/01/1996,182,76,Spain,Real Madrid,83,87,34000000,180000,"LW, RW",Left,4,72300000,20,01/07/2015,2023
200458,L. Digne,25,20/07/1993,178,74,France,Everton,83,86,28500000,97000,LB,Left,3,56300000,12,01/08/2018,2023
202166,J. Draxler,25,20/09/1993,187,77,Germany,Paris Saint-Germain,83,86,32500000,100000,"CAM, CM, LW",Right,4,62600000,23,03/01/2017,2021
204935,J. Pickford,25,07/03/1994,185,77,England,Everton,83,86,24000000,78000,GK,Left,1,47400000,1,15/06/2017,2024
208418,Y. Carrasco,25,04/09/1993,180,71,Belgium,Dalian YiFang FC,83,86,32500000,23000,LM,Right,4,52800000,10,26/02/2018,2021
224179,Borja Iglesias,26,17/01/1993,187,86,Spain,Real Betis,83,86,32500000,41000,ST,Right,3,70700000,9,14/08/2019,2024
192984,K. Casteels,27,25/06/1992,197,86,Belgium,VfL Wolfsburg,83,85,22000000,50000,GK,Left,1,39100000,1,21/01/2015,2021
198717,W. Zaha,26,10/11/1992,180,66,Ivory Coast,Crystal Palace,83,85,32000000,89000,"CF, LM, LW",Right,5,63200000,11,02/02/2015,2023
200454,Paco Alcácer,25,30/08/1993,175,72,Spain,Borussia Dortmund,83,85,32000000,105000,ST,Right,3,55200000,9,23/11/2018,2023
201153,Morata,26,23/10/1992,189,84,Spain,Atlético Madrid,83,85,32000000,80000,ST,Right,3,55200000,9,,2020
205693,S. Haller,25,22/06/1994,190,82,France,West Ham United,83,85,32000000,120000,ST,Right,3,63200000,22,17/07/2019,2024
207566,William Carvalho,27,07/04/1992,187,83,Portugal,Real Betis,83,85,27500000,35000,"CDM, CM",Right,3,59800000,14,13/07/2018,2023
